cod_specializare,pozitie_2025,pozitie_2024,pozitie_2023
259,7613,7706,6970
260,7899,7982,7203
216,13347,14752,13002
268,3685,3589,3427
269,3430,2897,3123
270,4247,4098,3816
142,6071,5832,5376
143,6988,7574,6164
144,6220,6000,5534
296,13148,14087,13111
297,11738,11884,10150
298,12021,12148,10582
,,14740,
,,,
117,6541,6341,5933
118,6875,6830,6199
119,7167,7319,6547
277,7180,7570,7168
278,7502,7801,7294
279,8240,8217,7415
224,4877,4890,4469
225,5133,5141,4631
226,5204,5100,4680
186,2885,3059,2815
187,1632,2121,2255
188,2684,2946,2856
421,11063,11349,9765
422,10698,10582,
423,12556,12613,11771
424,14387,15044,13551
425,15812,16488,14223
,,14418,13330
247,11605,11301,
248,11278,11301,
249,11930,12164,10536
250,14981,15101,13179
251,12457,12557,11138
426,8347,8395,7724
427,8777,8781,8057
289,10269,10035,9231
290,10105,10183,
291,10276,10199,9413
292,13079,12471,11409
293,13661,13900,12049
294,13923,13860,11987
295,14356,14353,
133,6421,6184,6297
134,7018,7150,7346
135,7681,7850,7514
136,7819,8133,7728
340,14770,15237,
341,15791,16474,14342
,,,
271,5172,5224,4685
272,10570,11538,9046
273,5114,5124,4596
274,12618,15875,14795
275,5755,5397,5013
276,9515,9846,8253
,,,
282,8758,8667,7702
283,9510,9470,8312
284,9551,9470,
285,9778,9555,8513
,,,
351,8303,8293,7374
352,8548,8494,7706
353,8638,8470,7627
354,8134,8141,7296
365,11204,11089,9694
366,11154,11257,9669
367,15330,15594,13493
239,10042,10508,
240,10496,10709,9425
241,13260,13994,12952
242,15492,15890,13939
243,11982,12275,11019
183,10590,,8567
158,10174,10176,9204
159,11736,11833,10132
160,15517,15769,12974
306,13908,14170,12451
307,13449,13269,11276
308,14692,14800,13315
309,15485,15970,14069
364,15806,16556,13712
233,12748,16445,
234,15619,16445,
235,15792,16445,13830
236,15805,16470,14121
237,13796,16445,
238,14241,16445,
376,2962,3055,2775
377,4444,3929,3639
378,4605,4216,3833
304,14689,14820,12894
305,15568,16377,14029
210,5356,5609,5031
211,6621,6377,5394
359,11142,10972,10243
360,11612,11459,10300
361,13333,14156,12566
362,15040,15656,13706
363,15639,16555,13753
,,15959,13884
,,,
391,6680,6713,6108
392,7271,7333,6220
393,7526,7440,6506
167,5023,5015,4568
168,5729,5608,5069
200,1932,1621,1284
201,1494,1605,1350
202,3147,3022,2256
203,2169,2141,1746
395,10700,10386,9518
396,11096,11027,9907
397,13560,14469,13084
398,11952,12227,10929
399,12356,12946,11836
417,9426,9642,8847
418,9688,9720,8677
419,13427,13565,12523
420,11895,12181,11036
344,345,336,326
345,455,505,441
346,1277,1450,1358
347,1091,1094,1081
319,2090,2053,2078
320,1849,2017,2047
321,2927,2537,2596
